,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
906,5258,虹堡,"2,369,245","1,599","85,585,214",36.10,37.00,35.55,35.60,-,1.7,35.60,15,35.65,3,18.35
907,5269,祥碩,"716,578","1,018","1,160,432,340","1,590.00","1,645.00","1,575.00","1,645.00",+,60.0,"1,630.00",14,"1,645.00",11,35.41
908,5283,禾聯碩,"104,594",205,"12,552,576",121.00,121.00,119.50,119.50,-,1.5,119.50,10,120.00,2,10.80
909,5284,jpp-KY,"20,066",15,"865,757",43.25,43.30,43.05,43.05,-,0.2,43.05,1,43.15,2,12.62
910,5285,界霖,"715,919",627,"66,124,014",93.50,93.90,91.10,91.70,-,2.2,91.70,1,91.80,1,19.85
911,5288,豐祥-KY,"31,016",24,"4,587,676",148.00,148.00,147.50,147.50,-,0.5,147.00,14,147.50,2,13.41
912,5388,中磊,"3,904,791","4,766","288,365,943",74.00,75.10,73.00,73.30,-,2.4,73.30,37,73.40,5,23.27
913,5434,崇越,"618,856",656,"102,172,462",165.50,167.00,164.00,164.50,-,3.0,164.50,12,165.00,28,13.53
914,5469,瀚宇博,"935,562",940,"40,082,055",43.10,43.30,42.55,42.55,-,0.95,42.55,38,42.60,13,5.93
915,5471,松翰,"773,747",641,"65,945,113",85.40,85.70,84.60,84.60,-,1.4,84.60,17,84.70,13,9.87
916,5484,慧友,"27,985",51,"453,562",16.60,16.65,16.00,16.00,-,0.55,16.00,2,16.50,6,0.00
917,5515,建國,"121,385",92,"1,677,572",13.80,13.85,13.75,13.80,-,0.1,13.80,77,13.85,5,7.62
918,5519,隆大,"813,918",448,"18,311,600",22.80,22.85,22.40,22.45,-,0.4,22.45,29,22.50,9,9.98
919,5521,工信,"1,373,620",674,"11,479,838",8.37,8.40,8.33,8.33,-,0.07,8.33,72,8.34,2,0.00
920,5522,遠雄,"551,371",470,"34,357,072",62.00,62.70,61.90,62.40,-,0.1,62.40,3,62.50,3,10.15
921,5525,順天,"37,000",28,"988,700",26.80,26.80,26.65,26.75,-,0.25,26.75,9,26.80,6,0.00
922,5531,鄉林,"623,277",289,"6,607,188",10.70,10.85,10.45,10.50,-,0.2,10.45,55,10.50,14,"1,050.00"
923,5533,皇鼎,"205,162",90,"3,916,320",19.25,19.25,19.00,19.00,-,0.2,19.00,37,19.05,1,9.84
924,5534,長虹,"202,900",253,"14,763,955",72.70,73.10,72.50,72.60,-,0.3,72.50,31,72.60,1,15.32
925,5538,東明-KY,"1,238,488",948,"75,013,895",62.00,63.80,58.50,58.80,-,2.9,58.80,8,59.10,1,9.80
926,5546,永固-KY,"5,111",8,"286,758",56.10,56.30,55.70,55.70,-,0.4,55.40,1,55.70,1,12.27
927,5607,遠雄港,"1,770,000","1,489","119,774,344",69.20,69.70,66.30,66.30,-,3.4,66.30,17,66.60,3,26.31
928,5608,四維航,"6,501,240","5,351","242,563,725",38.20,38.25,36.65,36.70,-,1.8,36.70,87,36.75,33,8.28
929,5706,鳳凰,"296,679",231,"11,951,136",41.00,41.20,39.90,40.25,-,1.0,40.25,2,40.35,2,38.70
930,5871,中租-KY,"2,544,043","3,882","642,682,555",257.00,257.00,250.50,252.50,-,5.0,252.50,123,253.00,51,19.70
931,5871A,中租-KY甲特,"339,105",130,"34,252,052",101.50,101.50,101.00,101.00,-,0.5,101.00,9,101.50,35,0.00
932,5876,上海商銀,"4,530,362","3,819","215,501,494",47.90,48.55,47.10,47.55,-,0.9,47.50,2,47.55,25,15.14
933,5880,合庫金,"25,668,495","11,935","678,108,277",26.65,26.70,26.30,26.45,-,0.35,26.40,168,26.45,31,17.52
934,5906,台南-KY,"1,305",4,"48,884",37.45,37.45,37.45,37.45,+,0.1,36.00,1,36.95,1,11.31
935,5907,大洋-KY,"102,250",66,"1,744,215",17.20,17.20,16.95,17.10,-,0.1,17.10,1,17.15,2,77.73
936,6005,群益證,"5,515,409","2,249","91,013,241",16.60,16.70,16.40,16.45,-,0.3,16.45,5,16.50,55,6.83
937,6024,群益期,"268,638",200,"10,357,982",38.70,38.80,38.50,38.50,-,0.2,38.50,33,38.55,15,15.16
938,6108,競國,"939,125",394,"19,595,637",21.20,21.20,20.65,20.65,-,0.6,20.60,48,20.65,5,21.97
939,6112,聚碩,"100,575",97,"3,855,714",38.50,38.50,38.25,38.35,-,0.2,38.35,1,38.40,6,12.45
940,6115,鎰勝,"113,699",75,"4,835,337",42.55,42.60,42.50,42.55, ,0.0,42.50,18,42.55,2,15.36
941,6116,彩晶,"25,227,966","8,707","427,095,301",17.05,17.25,16.70,16.85,-,0.55,16.80,384,16.85,121,5.14
942,6117,迎廣,"7,170",10,"118,102",16.55,16.55,16.40,16.40,-,0.1,16.35,5,16.45,1,0.00
943,6120,達運,"3,345,044","1,414","44,916,458",13.60,13.75,13.25,13.25,-,0.45,13.25,64,13.30,66,0.00
944,6128,上福,"69,127",49,"1,944,944",28.15,28.30,28.05,28.05,-,0.25,28.05,4,28.10,2,11.89
945,6133,金橋,"232,000",123,"2,275,730",9.94,9.94,9.70,9.84,-,0.1,9.82,1,9.85,9,0.00
946,6136,富爾特,"205,201",120,"3,802,765",18.55,18.60,18.50,18.50,-,0.15,18.50,63,18.55,5,30.33
947,6139,亞翔,"1,773,227","1,189","56,927,222",32.10,32.75,31.50,31.65,-,0.85,31.65,20,31.70,3,32.63
948,6141,柏承,"217,618",301,"6,209,692",28.90,28.90,28.30,28.35,-,0.75,28.35,1,28.40,6,8.92
949,6142,友勁,"449,610",179,"4,506,465",10.10,10.15,10.00,10.00,-,0.2,10.00,27,10.05,4,0.00
950,6152,百一,"452,107",218,"5,128,717",11.45,11.45,11.25,11.30,-,0.4,11.30,472,11.35,37,0.00
951,6153,嘉聯益,"1,964,668","1,190","48,530,395",25.10,25.10,24.60,24.60,-,0.65,24.60,62,24.65,8,111.82
952,6155,鈞寶,"57,400",67,"1,375,211",24.00,24.15,23.80,23.90,-,0.25,23.90,3,23.95,4,33.66
953,6164,華興,"380,320",245,"5,580,049",14.75,14.80,14.55,14.70,-,0.25,14.65,9,14.70,8,45.94
954,6165,浪凡,"586,549",388,"21,135,206",36.10,36.60,35.60,35.65,-,0.75,35.65,2,35.70,6,8.33
955,6166,凌華,"76,407",123,"4,695,039",62.00,62.00,61.20,61.20,-,0.8,61.20,4,61.30,3,149.27
956,6168,宏齊,"1,589,766","1,022","41,119,042",26.20,26.40,25.60,25.70,-,1.0,25.70,36,25.75,6,14.52
957,6176,瑞儀,"3,921,177","2,730","396,984,979",102.50,102.50,100.50,101.00,-,2.5,101.00,1,101.50,186,8.57
958,6177,達麗,"412,765",253,"12,388,911",30.25,30.25,29.90,29.95,-,0.25,29.95,10,30.00,19,16.37
959,6183,關貿,"82,504",79,"4,259,168",51.80,51.90,51.50,51.50,-,0.9,51.50,3,51.60,2,19.66
960,6184,大豐電,"29,746",34,"1,343,291",45.00,45.20,45.00,45.15,-,0.2,45.15,1,45.20,3,14.47
961,6189,豐藝,"347,531",251,"14,480,209",41.80,41.80,41.55,41.60,-,0.3,41.60,37,41.65,4,10.59
962,6191,精成科,"2,023,353","1,943","73,055,427",36.30,36.50,35.80,35.90,-,0.8,35.85,19,35.90,6,5.97
963,6192,巨路,"92,268",89,"6,766,378",73.80,73.80,73.00,73.30,-,0.2,73.20,1,73.40,1,9.52
964,6196,帆宣,"3,212,827","2,837","525,772,579",165.50,169.00,160.50,161.00,-,7.5,160.50,43,161.50,5,23.96
965,6197,佳必琪,"423,036",286,"17,348,339",40.80,41.40,40.70,40.75,-,0.5,40.75,2,40.80,2,16.17
966,6201,亞弘電,"10,000",9,"437,350",43.95,43.95,43.60,43.60,-,0.35,43.50,14,43.70,1,11.75
967,6202,盛群,"1,531,659","1,241","160,480,377",103.00,106.00,102.50,105.50,+,1.0,105.00,7,105.50,92,12.32
968,6205,詮欣,"27,401,011","15,162","2,144,108,924",78.50,81.00,75.10,76.20,-,3.6,76.20,6,76.30,1,42.57
969,6206,飛捷,"284,095",215,"21,748,474",77.20,77.20,76.20,76.40,-,1.4,76.30,4,76.40,7,20.11
970,6209,今國光,"1,058,645",623,"34,467,446",32.80,33.00,32.30,32.40,-,0.6,32.35,12,32.40,3,0.00
971,6213,聯茂,"1,521,359","1,231","199,905,546",131.00,133.00,130.00,130.50,-,1.5,130.50,15,131.00,34,16.05
972,6214,精誠,"320,964",223,"27,368,833",85.50,85.50,84.80,84.90,-,0.2,84.80,2,84.90,3,14.92
973,6215,和椿,"384,841",296,"10,004,159",26.70,26.70,25.85,25.90,-,0.7,25.85,17,25.90,13,8.63
974,6216,居易,"213,409",141,"5,754,113",27.00,27.10,26.90,26.90,-,0.25,26.90,27,27.00,4,17.58
975,6224,聚鼎,"576,153",641,"63,082,999",110.00,111.00,108.50,109.00,-,2.5,108.50,9,109.00,7,16.82
976,6225,天瀚,"5,720",8,"53,259",9.53,9.53,9.40,9.40,+,0.41,9.01,2,9.40,2,0.00
977,6226,光鼎,"1,300,311",660,"18,393,191",14.40,14.50,14.00,14.00,-,0.45,14.00,279,14.05,5,116.67
978,6230,尼得科超眾,"13,805",24,"2,249,711",163.50,163.50,162.50,162.50,-,4.0,162.00,9,165.50,2,25.83
979,6235,華孚,"13,387,505","7,397","465,653,527",34.80,36.00,33.30,33.30,-,1.95,33.30,73,33.35,2,38.28
980,6239,力成,"4,303,368","3,459","423,836,383",99.00,99.30,98.20,98.40,-,1.1,98.30,1,98.40,100,9.39
981,6243,迅杰,"621,930",514,"30,723,425",49.60,50.80,48.60,48.60,-,1.7,48.55,3,48.60,1,113.02
982,6251,定穎,"2,656,179","1,401","56,365,689",21.75,21.75,21.00,21.05,-,0.75,21.00,71,21.05,61,18.30
983,6257,矽格,"2,745,257","2,152","160,867,438",59.00,59.20,58.10,58.30,-,1.2,58.20,41,58.40,37,10.16
984,6269,台郡,"1,542,986","1,463","152,751,136",100.00,100.00,98.50,98.50,-,1.5,98.50,35,98.60,4,11.40
985,6271,同欣電,"1,920,580","1,974","497,687,160",262.00,263.00,256.50,256.50,-,8.0,256.50,26,257.00,6,18.17
986,6277,宏正,"77,595",70,"6,342,351",81.90,82.00,81.50,81.60,-,0.1,81.50,6,81.70,5,17.14
987,6278,台表科,"7,481,556","6,699","999,942,210",134.50,136.00,131.50,132.50,-,5.0,132.00,49,132.50,27,12.35
988,6281,全國電,"46,066",58,"3,769,346",81.80,81.90,81.70,81.90,+,0.1,81.90,2,82.00,15,14.57
989,6282,康舒,"6,728,631","3,983","226,484,624",34.00,34.45,33.15,33.40,-,0.7,33.35,1,33.40,50,44.53
990,6283,淳安,"261,910",299,"11,077,974",43.50,43.50,41.80,41.85,-,1.65,41.85,6,42.05,1,0.00
991,6285,啟碁,"4,077,753","3,180","285,962,314",70.80,71.00,69.80,69.90,-,1.7,69.90,27,70.00,68,22.40
992,6288,聯嘉,"2,043,789","1,564","58,718,542",28.90,29.60,28.10,28.20,-,1.1,28.20,23,28.25,12,128.18
993,6289,華上,"96,801",48,"323,633",3.50,3.50,3.29,3.31, ,0.0,3.30,50,3.31,6,0.00
994,6405,悅城,"72,032",59,"1,939,314",27.25,27.25,26.75,27.00,-,0.35,27.00,2,27.15,2,39.13
995,6409,旭隼,"181,789",230,"267,933,250","1,470.00","1,525.00","1,450.00","1,450.00",-,65.0,"1,445.00",1,"1,450.00",5,58.07
996,6412,群電,"2,341,849","1,958","192,168,223",80.00,83.50,80.00,82.10,+,1.7,82.10,3,82.20,4,12.20
997,6414,樺漢,"1,335,941","1,257","299,385,599",225.50,227.50,222.00,225.00,-,4.0,224.50,39,225.00,5,17.87
998,6415,矽力-KY,"877,985","1,705","3,256,479,495","3,775.00","3,775.00","3,640.00","3,650.00",-,150.0,"3,650.00",12,"3,655.00",2,63.05
999,6416,瑞祺電通,"315,436",309,"30,899,546",98.80,99.00,97.00,97.30,-,2.0,97.10,4,97.30,1,29.76
1000,6426,統新,"51,415",86,"3,656,183",71.90,71.90,70.70,70.70,-,1.4,70.60,1,70.80,1,157.11
1001,6431,光麗-KY,"95,000",42,"2,561,250",27.05,27.35,26.55,26.55,-,0.5,26.50,2,26.60,2,47.41
1002,6438,迅得,"5,979,978","4,309","725,119,033",123.50,124.50,118.00,118.00,-,9.0,118.00,108,118.50,19,13.42
1003,6442,光聖,"9,000",9,"318,750",35.40,35.50,35.40,35.40, ,0.0,35.20,5,35.65,2,42.65
1004,6443,元晶,"13,515,753","7,921","521,880,333",39.25,39.65,37.55,37.60,-,1.8,37.60,316,37.65,177,0.00
1005,6449,鈺邦,"41,049",56,"2,309,181",57.20,57.20,55.70,56.80,+,0.6,55.70,1,57.00,5,17.16
1006,6451,訊芯-KY,"225,433",308,"20,334,281",91.00,91.10,89.80,89.90,-,1.7,89.80,15,90.10,2,13.81
1007,6456,GIS-KY,"966,182",844,"95,254,204",99.80,99.80,98.00,98.00,-,2.0,98.00,86,98.20,3,7.54
1008,6464,台數科,"59,150",55,"5,317,020",90.50,90.50,89.70,89.70,-,0.7,89.70,8,89.90,3,11.43
1009,6477,安集,"13,525,709","8,238","721,569,783",52.30,54.60,51.90,52.00,-,0.3,51.90,71,52.00,72,44.07
1010,6491,晶碩,"488,571",778,"207,216,484",426.50,433.00,415.00,415.00,-,20.0,415.00,7,415.50,6,24.98
1011,6504,南六,"97,974",142,"11,361,469",115.50,119.00,114.50,115.00,-,0.5,114.50,3,115.50,3,14.29
1012,6505,台塑化,"2,450,774","1,865","237,171,448",97.50,98.10,96.20,96.70,-,1.4,96.70,1,96.80,40,17.71
1013,6515,穎崴,"168,773",211,"63,925,511",384.50,384.50,376.00,376.00,-,14.0,376.00,2,377.00,1,34.56
1014,6525,捷敏-KY,"334,970",322,"29,589,305",88.80,89.00,88.00,88.10,-,1.3,88.10,2,88.20,2,13.62
1015,6531,愛普*,"9,656,508","10,549","4,041,441,112",429.50,434.50,403.50,405.00,-,40.0,405.00,30,406.00,4,29.16
1016,6533,晶心科,"1,827,378","1,877","791,055,048",434.00,445.00,420.50,420.50,-,20.0,420.50,4,421.00,1,84.61
1017,6541,泰福-KY,"735,018",510,"40,217,704",55.20,55.90,53.90,53.90,-,1.6,53.90,3,54.00,7,0.00
1018,6552,易華電,"159,611",334,"8,365,913",53.10,53.20,52.10,52.30,-,0.8,52.30,1,52.50,1,14.65
1019,6558,興能高,"153,631",131,"5,117,709",33.50,33.90,32.60,32.60,-,1.05,32.60,5,32.85,1,49.39
1020,6573,虹揚-KY,"173,044",143,"3,173,554",18.75,18.75,18.20,18.20,-,0.65,18.20,19,18.30,1,0.00
1021,6579,研揚,"50,500",39,"3,527,099",69.80,70.20,69.50,70.20,-,1.0,69.70,1,70.30,2,39.44
1022,6581,鋼聯,"59,065",49,"4,891,988",82.10,83.30,82.10,82.50,+,0.1,82.50,2,82.90,10,16.87
1023,6582,申豐,"174,903",187,"26,330,392",151.50,151.50,150.00,151.50,-,2.0,151.00,6,152.00,4,3.98
1024,6591,動力-KY,"292,317",270,"16,659,863",58.30,58.30,56.10,56.10,-,2.6,56.00,12,56.10,1,7.61
1025,6592,和潤企業,"946,493",737,"99,716,842",104.00,106.50,103.50,105.00, ,0.0,104.50,72,105.00,11,18.32
1026,6598,ABC-KY,"1,427,891","1,163","61,199,136",41.60,44.50,41.50,42.00,+,0.45,42.00,20,42.15,1,0.00
1027,6605,帝寶,"260,044",186,"15,647,865",60.60,60.60,60.00,60.00,-,0.6,59.90,27,60.00,16,9.65
1028,6625,必應,"79,394",51,"2,382,474",30.05,31.00,29.65,29.75,-,0.8,29.70,2,29.85,1,0.00
1029,6641,基士德-KY,"8,130",18,"494,420",60.90,60.90,60.80,60.80,-,0.1,60.70,1,60.80,1,9.62
1030,6655,科定,"37,637",46,"3,148,484",83.60,84.70,82.50,83.70, ,0.0,83.40,1,83.70,1,12.68
1031,6666,羅麗芬-KY,"8,198",8,"525,090",64.60,64.60,63.30,63.30,-,1.3,63.30,1,63.60,1,27.28
1032,6668,中揚光,"261,035",215,"13,529,185",53.00,53.00,51.30,51.50,-,1.2,51.40,2,51.60,2,0.00
1033,6669,緯穎,"821,366",872,"838,392,295","1,010.00","1,030.00","1,005.00","1,015.00",+,5.0,"1,015.00",4,"1,020.00",2,20.24
1034,6670,復盛應用,"105,331",135,"20,924,322",199.50,200.50,198.00,198.00,-,1.5,197.50,11,198.00,3,11.48
1035,6671,三能-KY,"23,000",13,"1,081,550",46.90,47.55,46.80,47.50,-,0.05,46.90,1,47.55,4,12.70
1036,6672,騰輝電子-KY,"569,054",516,"68,221,301",120.50,121.50,119.00,119.00,-,4.0,119.00,3,119.50,2,10.88
1037,6674,鋐寶科技,"5,077",11,"162,625",32.25,32.25,31.95,31.95,+,0.1,31.65,1,32.00,1,46.99
1038,6691,洋基工程,"154,660",149,"31,288,679",203.00,203.50,200.50,200.50,-,5.5,200.50,12,201.00,2,17.51
1039,6698,旭暉應材,"795,288",609,"36,479,470",46.50,46.90,45.00,45.15,-,2.15,45.15,3,45.20,1,85.19
1040,6706,惠特,"7,774,420","5,962","1,882,396,277",248.50,250.00,233.00,233.00,-,21.0,233.00,6,234.00,36,20.26
1041,6715,嘉基,"22,149",25,"2,676,065",121.00,122.50,120.00,120.00,-,2.5,120.00,2,120.50,1,34.19
1042,6719,力智,"3,285,114","4,876","3,239,257,921",977.00,"1,015.00",954.00,971.00,-,12.0,971.00,1,972.00,1,91.09
1043,6743,安普新,"144,712",161,"9,469,500",64.20,66.30,64.20,65.70,+,0.5,65.40,1,65.70,1,84.23
1044,6754,匯僑設計,"111,050",60,"4,465,025",40.95,40.95,39.60,40.25,-,0.5,40.15,2,40.25,12,15.19
1045,6756,威鋒電子,"1,010,712","1,157","461,858,240",454.00,466.50,445.50,445.50,-,14.5,445.50,15,446.00,8,41.95
1046,6768,志強-KY,"97,000",69,"6,774,000",69.70,71.20,69.10,69.20,-,0.6,69.20,5,69.50,2,33.11
1047,6770,力積電,"8,819,495","6,183","590,650,255",67.70,67.70,66.50,67.20,-,0.7,67.10,1,67.20,154,31.55
1048,6776,展碁國際,"95,640",108,"3,934,090",41.60,41.60,40.75,40.75,-,1.0,40.75,1,40.80,3,12.02
1049,6781,AES-KY,"662,747",853,"1,083,623,775","1,645.00","1,690.00","1,585.00","1,585.00",-,105.0,"1,585.00",1,"1,590.00",2,149.81
1050,6790,永豐實,"165,513",202,"8,090,973",49.00,49.00,48.80,48.80,-,0.25,48.80,16,48.90,1,8.56
1051,6792,詠業,"362,281",437,"56,341,033",160.50,160.50,153.00,153.50,-,8.5,153.50,1,154.50,11,29.18
1052,6806,森崴能源,"606,265",496,"63,761,668",107.50,107.50,104.00,104.00,-,4.0,104.00,32,104.50,11,25.74
1053,8011,台通,"733,333",447,"13,596,190",18.80,18.90,18.30,18.30,-,0.6,18.30,18,18.35,9,0.00
1054,8016,矽創,"1,965,249","2,060","562,276,048",288.50,290.00,284.00,285.00,-,8.5,285.00,23,285.50,16,7.24
1055,8021,尖點,"1,175,866",863,"47,266,225",40.60,40.95,40.00,40.05,-,0.95,40.00,252,40.05,4,12.71
1056,8028,昇陽半導體,"955,840",659,"48,873,878",51.00,51.70,50.60,50.60,-,1.2,50.60,14,50.70,2,44.00
1057,8033,雷虎,"699,870",350,"10,866,983",15.50,15.70,15.40,15.40,-,0.1,15.35,98,15.40,3,57.04
1058,8039,台虹,"304,834",236,"14,176,319",46.90,46.90,46.20,46.50,-,0.5,46.45,3,46.50,7,11.77
1059,8046,南電,"5,777,549","7,135","2,903,995,608",518.00,519.00,489.00,490.50,-,35.5,490.50,35,491.00,1,37.96
1060,8070,長華*,"2,748,586","1,640","100,190,209",36.70,37.00,36.00,36.05,-,1.1,36.05,49,36.10,5,16.69
1061,8072,陞泰,"28,499",53,"723,618",25.65,25.65,25.20,25.35,-,0.35,25.25,2,25.60,3,101.40
1062,8081,致新,"739,458",724,"177,114,330",236.00,242.00,235.00,238.00,+,1.5,238.00,12,238.50,14,10.87
1063,8101,華冠,"558,243",89,"1,586,108",2.93,2.93,2.75,2.75,-,0.18,2.73,8,2.75,1,0.00
1064,8103,瀚荃,"1,682,571",987,"76,286,168",46.05,46.10,45.00,45.00,-,1.4,45.00,16,45.05,3,11.63
1065,8104,錸寶,"16,642,203","10,369","1,390,227,839",81.20,84.90,81.20,83.50,+,0.4,83.40,2,83.50,17,25.61
1066,8105,凌巨,"1,065,242",482,"13,073,024",12.50,12.50,12.10,12.10,-,0.4,12.10,99,12.15,6,0.00
1067,8110,華東,"5,489,483","2,250","98,308,677",18.65,18.65,17.60,17.60,-,0.9,17.60,29,17.65,7,73.33
1068,8112,至上,"3,435,064","2,394","169,459,651",49.50,49.60,49.15,49.15,-,0.85,49.15,64,49.20,29,7.75
1069,8114,振樺電,"371,352",368,"42,204,551",115.00,115.00,113.00,113.00,-,4.0,112.50,30,113.00,1,25.80
1070,8131,福懋科,"311,919",248,"12,177,490",39.40,39.40,38.85,38.90,-,0.5,38.90,15,38.95,6,11.86
1071,8150,南茂,"8,807,640","4,949","421,313,720",47.85,48.30,47.35,47.60,-,0.85,47.60,131,47.65,10,8.00
1072,8163,達方,"1,376,947","1,023","63,725,135",46.80,46.90,45.90,45.90,-,1.3,45.90,5,45.95,15,11.80
1073,8201,無敵,"844,321",414,"13,019,767",15.90,15.95,15.00,15.00,-,1.0,15.00,25,15.05,3,7.18
1074,8210,勤誠,"174,660",153,"13,515,592",78.00,78.00,76.90,77.70,-,0.8,77.50,1,77.70,10,10.84
1075,8213,志超,"956,003",594,"45,709,943",47.95,48.00,47.65,47.70,-,0.6,47.70,17,47.75,18,7.88
1076,8215,明基材,"2,126,766","1,580","76,583,045",36.30,36.45,35.75,35.80,-,1.0,35.80,1,35.85,1,13.07
1077,8222,寶一,"154,827",310,"2,219,967",14.50,14.50,14.20,14.25,-,0.45,14.20,7,14.30,3,0.00
1078,8249,菱光,"77,229",86,"1,819,892",23.55,23.70,23.50,23.50,-,0.45,23.50,24,23.70,2,13.13
1079,8261,富鼎,"2,694,171","2,043","271,819,970",102.00,102.50,100.00,101.00,-,2.0,101.00,3,101.50,92,15.81
1080,8271,宇瞻,"523,967",454,"23,491,238",45.45,45.45,44.50,44.55,-,1.0,44.55,11,44.65,4,9.86
1081,8341,日友,"62,240",352,"12,394,048",200.50,200.50,198.50,198.50,-,1.0,198.50,23,199.00,1,23.08
1082,8367,建新國際,"217,061",172,"10,530,447",49.10,49.15,48.00,48.00,-,1.6,48.00,5,48.35,2,6.68
1083,8374,羅昇,"79,144",50,"2,393,403",30.40,30.40,30.10,30.20,-,0.2,30.20,1,30.25,2,22.71
1084,8404,百和興業-KY,"600,184",278,"21,242,649",35.60,35.80,34.85,35.05,-,0.8,35.00,2,35.05,9,9.03
1085,8411,福貞-KY,"179,030",107,"3,127,613",17.50,17.65,17.35,17.50,-,0.2,17.45,2,17.55,25,29.17
1086,8422,可寧衛,"355,964",667,"72,291,434",205.00,205.00,202.00,202.50,-,3.5,202.50,5,203.00,6,17.76
1087,8427,基勝-KY,"237,842",86,"17,728,275",74.50,74.70,74.50,74.50, ,0.0,74.50,79,74.70,26,0.00
1088,8429,金麗-KY,"367,276",528,"4,316,284",11.85,11.85,11.65,11.65,-,0.2,11.60,19,11.65,4,0.00
1089,8442,威宏-KY,"88,000",47,"3,803,850",42.80,43.95,42.45,42.80,-,0.25,42.55,1,42.80,1,0.00
1090,8443,阿瘦,"43,898",161,"518,695",11.90,11.90,11.75,11.80,-,0.1,11.80,1,11.85,12,0.00
1091,8454,富邦媒,"645,975","4,693","943,179,675","1,500.00","1,520.00","1,430.00","1,430.00",-,70.0,"1,430.00",19,"1,440.00",2,87.52
1092,8462,柏文,"47,303",199,"6,024,211",128.00,128.00,127.00,127.50,-,1.0,127.50,2,128.00,1,0.00
1093,8463,潤泰材,"51,388",42,"1,456,757",28.50,28.65,28.15,28.20,-,0.4,28.15,11,28.30,4,0.00
1094,8464,億豐,"744,291",848,"288,765,329",390.50,398.00,383.00,387.50,-,9.5,386.50,12,387.50,4,21.93
1095,8466,美吉吉-KY,"47,000",38,"2,431,000",52.00,52.20,51.40,51.80,-,0.2,51.40,2,52.20,2,37.54
1096,8467,波力-KY,"13,000",13,"498,700",38.50,38.60,38.05,38.05,-,1.75,38.00,2,38.35,1,26.42
1097,8473,山林水,"87,175",97,"2,845,314",32.75,32.80,32.55,32.55,-,0.25,32.55,1,32.60,4,42.27
1098,8478,東哥遊艇,"359,182",561,"47,413,497",132.50,136.50,129.50,129.50,-,5.5,129.00,10,129.50,5,15.08
1099,8480,泰昇-KY,"10,193",12,"1,013,822",101.00,101.00,99.00,99.70,+,0.7,99.10,1,100.50,1,12.67
1100,8481,政伸,"20,031",20,"1,433,513",71.50,71.80,71.40,71.40, ,0.0,71.50,1,71.60,5,10.32
1101,8482,商億-KY,"40,000",19,"2,885,000",72.10,72.50,72.00,72.00,-,1.0,72.00,3,72.30,1,9.92
1102,8488,吉源-KY,0,0,0,--,--,--,--, ,0.0,16.60,3,16.75,2,12.88
1103,8499,鼎炫-KY,"57,147",62,"7,287,687",129.50,130.00,126.00,126.00,-,3.0,126.00,2,126.50,1,10.08
1104,8926,台汽電,"551,591",456,"20,635,998",37.40,37.55,37.30,37.30,-,0.05,37.30,32,37.35,7,25.90
1105,8940,新天地,"31,938",171,"400,180",12.55,12.55,12.45,12.45,-,0.15,12.45,12,12.50,7,0.00
1106,8996,高力,"363,212",327,"19,189,590",53.40,53.70,52.10,52.30,-,1.6,52.30,1,52.50,2,35.10
1107,9103,美德醫療-DR,"413,288",181,"5,858,736",14.15,14.20,14.10,14.20,+,0.05,14.15,7,14.20,15,0.00
1108,910322,康師傅-DR,"1,000",1,"28,550",28.55,28.55,28.55,28.55,-,0.15,28.55,1,28.80,2,0.00
1109,9105,泰金寶-DR,"11,337,744","2,189","52,987,184",4.78,4.78,4.60,4.62,-,0.18,4.62,204,4.63,46,0.00
1110,910861,神州-DR,"173,249",55,"1,466,611",8.42,8.53,8.28,8.48,-,0.01,8.47,1,8.48,1,0.00
1111,9110,越南控-DR,"103,034",37,"312,252",3.01,3.05,3.00,3.00,-,0.05,3.00,15,3.03,1,0.00
1112,911608,明輝-DR,"118,999",47,"428,553",3.68,3.68,3.56,3.60, ,0.0,3.57,1,3.61,6,0.00
1113,911622,泰聚亨-DR,"112,531",48,"671,327",5.98,5.99,5.95,5.99, ,0.0,5.95,23,5.99,4,0.00
1114,911868,同方友友-DR,"572,000",98,"734,020",1.29,1.30,1.27,1.28,-,0.03,1.27,18,1.29,39,0.00
1115,912000,晨訊科-DR,"1,186,000",245,"3,584,700",3.12,3.12,2.99,2.99,-,0.13,2.99,49,3.00,9,0.00
1116,9136,巨騰-DR,"1,071,303",208,"6,380,234",6.03,6.03,5.92,5.94,-,0.04,5.93,23,5.94,21,0.00
1117,9188,精熙-DR,"3,260,000",111,"11,121,070",3.42,3.43,3.40,3.41, ,0.0,3.41,30,3.42,195,0.00
1118,9802,鈺齊-KY,"3,099,538","1,844","331,092,811",104.50,108.00,103.50,106.00, ,0.0,106.00,114,106.50,42,20.00
1119,9902,台火,"352,571",180,"4,577,008",13.10,13.20,12.85,12.95,-,0.25,12.95,14,13.00,5,11.16
1120,9904,寶成,"8,317,307","3,541","272,534,636",32.90,33.05,32.55,32.80,-,0.4,32.75,14,32.80,12,7.22
1121,9905,大華,"92,036",61,"2,410,348",26.20,26.30,26.10,26.10,-,0.15,26.10,30,26.20,2,13.45
1122,9906,欣巴巴,"51,098",44,"2,998,647",59.90,60.30,57.60,57.60,-,2.3,57.60,12,57.90,2,28.37
