,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
747,3138,耀登,"463,403",815,"91,083,737",200.00,200.50,194.00,194.00,-,8.0,193.50,2,194.50,2,45.43
748,3149,正達,"476,806",286,"13,647,326",28.60,28.80,28.50,28.50,-,0.25,28.50,21,28.60,1,0.00
749,3164,景岳,"260,960",218,"6,155,243",24.05,24.05,23.20,23.80,-,0.3,23.70,3,23.80,1,26.74
750,3167,大量,"741,409",624,"58,011,724",79.90,79.90,77.40,77.50,-,2.8,77.50,24,77.60,1,9.44
751,3189,景碩,"10,185,378","7,100","2,092,394,555",209.00,210.50,200.50,200.50,-,12.5,200.50,95,201.00,63,33.93
752,3209,全科,"426,849",359,"12,280,778",29.05,29.05,28.65,28.70,-,0.35,28.70,2,28.75,3,8.04
753,3229,晟鈦,"87,414",88,"1,307,455",15.20,15.20,14.80,14.85,-,0.45,14.85,1,14.90,2,0.00
754,3231,緯創,"23,990,272","10,597","745,691,274",31.40,31.40,30.90,31.25,-,0.25,31.20,3,31.25,385,11.97
755,3257,虹冠電,"338,188",421,"22,002,026",65.60,65.60,64.70,65.10,-,0.9,65.00,9,65.10,3,12.89
756,3266,昇陽,"191,000",41,"2,563,600",13.55,13.60,13.40,13.45,-,0.15,13.40,10,13.50,13,37.36
757,3296,勝德,"113,155",69,"1,936,877",17.35,17.35,17.00,17.00,-,0.45,16.95,1,17.00,3,0.00
758,3305,昇貿,"1,723,224","1,402","123,675,097",73.20,73.50,70.60,70.80,-,3.0,70.80,10,70.90,17,18.11
759,3308,聯德,"375,547",312,"7,674,692",21.00,21.00,20.05,20.30,-,1.2,20.30,3,20.35,1,0.00
760,3311,閎暉,"82,227",159,"2,755,213",33.70,33.70,33.40,33.50,-,0.1,33.45,1,33.50,1,31.90
761,3312,弘憶股,"1,254,050",981,"29,763,461",24.15,24.15,23.55,23.55,-,0.75,23.50,93,23.55,2,7.50
762,3321,同泰,"473,054",267,"5,973,473",12.90,12.90,12.50,12.70,-,0.2,12.65,8,12.70,14,0.00
763,3338,泰碩,"4,746,294","3,502","258,674,695",56.00,56.80,52.60,52.60,-,4.7,52.60,39,52.70,1,29.89
764,3346,麗清,"262,185",355,"10,775,927",41.80,41.80,40.90,40.90,-,0.9,40.90,11,41.00,8,32.98
765,3356,奇偶,"294,160",279,"8,717,711",29.80,29.85,29.50,29.50,-,0.5,29.50,7,29.55,2,13.72
766,3376,新日興,"406,088",407,"38,586,575",95.40,95.90,94.10,94.10,-,1.7,94.00,11,94.20,3,13.11
767,3380,明泰,"1,666,114","1,032","51,327,455",31.20,31.30,30.40,30.45,-,1.25,30.45,5,30.50,11,28.73
