,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1091,8462,柏文,"41,755",139,"5,380,895",127.50,130.00,127.50,128.50,+,1.0,128.00,10,129.00,3,0.00
1092,8463,潤泰材,"15,300",16,"440,200",28.70,28.80,28.70,28.80,-,0.15,28.75,6,28.85,11,0.00
1093,8464,億豐,"365,130",335,"145,359,583",397.50,402.00,394.00,394.50,-,6.0,394.50,2,397.00,26,22.33
1094,8466,美吉吉-KY,"21,000",21,"1,100,000",52.80,53.30,52.10,52.10,-,0.7,52.00,10,52.10,1,37.75
1095,8467,波力-KY,"1,000",1,"38,750",38.75,38.75,38.75,38.75,-,0.85,38.35,1,39.20,5,26.91
1096,8473,山林水,"89,109",82,"2,926,282",32.95,33.00,32.80,32.80,-,0.15,32.80,3,32.90,2,42.60
1097,8478,東哥遊艇,"356,328",332,"47,670,905",132.00,135.50,131.00,135.50,+,2.5,134.50,1,136.00,12,15.77
1098,8480,泰昇-KY,"3,245",11,"321,407",99.00,99.00,98.80,98.80,-,0.3,98.70,2,99.40,1,12.55
1099,8481,政伸,"13,030",14,"928,260",71.00,71.50,71.00,71.40,-,0.5,71.30,2,71.50,4,10.32
1100,8482,商億-KY,"6,011",6,"441,458",72.90,73.60,72.90,73.50,+,0.5,73.10,2,73.50,9,10.12
1101,8488,吉源-KY,0,0,0,--,--,--,--, ,0.0,16.60,3,17.15,1,12.92
1102,8499,鼎炫-KY,"21,250",26,"2,744,255",128.50,130.00,128.50,129.50,-,0.5,129.00,2,129.50,1,10.36
1103,8926,台汽電,"734,378",624,"27,356,482",37.35,37.35,37.20,37.25,-,0.05,37.25,10,37.30,23,25.87
1104,8940,新天地,"18,668",118,"235,734",12.55,12.60,12.55,12.60, ,0.0,12.60,15,12.65,10,0.00
1105,8996,高力,"250,960",295,"13,482,429",53.00,54.40,52.60,53.70,+,0.2,53.70,3,53.90,4,36.04
1106,9103,美德醫療-DR,"493,802",198,"7,129,606",14.55,14.55,14.40,14.45,-,0.25,14.40,136,14.45,2,0.00
